         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38   14.365    0.378   14.365    0.378 {method 'acquire' of '_thread.lock' objects}
      7/6    1.836    0.262    1.836    0.306 {built-in method _imp.create_dynamic}
        1    0.661    0.661    0.661    0.661 {built-in method describe}
        1    0.560    0.560    0.560    0.560 {built-in method arcgisscripting.create}
       47    0.080    0.002    0.080    0.002 {built-in method _winapi.WaitForSingleObject}
        1    0.078    0.078   15.338   15.338 scripttool.py:42(mp_handler)
      104    0.052    0.001    0.086    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        8    0.046    0.006    0.046    0.006 {built-in method _winapi.CreateProcess}
        1    0.043    0.043    0.043    0.043 {method 'acquire' of '_multiprocessing.SemLock' objects}
      104    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
      104    0.034    0.000    0.034    0.000 {method 'read' of '_io.FileIO' objects}
      742    0.030    0.000    0.030    0.000 {built-in method nt.stat}
       10    0.011    0.001    0.011    0.001 {built-in method io.open}
  367/344    0.005    0.000    0.019    0.000 {built-in method builtins.__build_class__}
        1    0.004    0.004    0.159    0.159 toolbox.py:15(<module>)
        2    0.003    0.002    0.004    0.002 __init__.py:5(getFileVersion)
     3249    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        1    0.002    0.002    0.002    0.002 {built-in method builtins.compile}
        3    0.002    0.001    2.616    0.872 __init__.py:15(<module>)
      150    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      104    0.002    0.000    0.134    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      111    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    113/1    0.001    0.000   17.930   17.930 {built-in method builtins.exec}
       17    0.001    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.001    0.001    0.012    0.012 pathlib.py:523(_select_from)
      110    0.001    0.000    0.003    0.000 inspect.py:2117(_signature_from_function)
       26    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     1438    0.001    0.000    0.001    0.000 _base.py:519(_params)
    112/6    0.001    0.000    2.628    0.438 <frozen importlib._bootstrap>:978(_find_and_load)
        8    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
       52    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
      668    0.001    0.000    0.001    0.000 _base.py:87(passthrough_attr)
       31    0.001    0.000    0.003    0.000 enum.py:140(__new__)
        1    0.001    0.001    0.661    0.661 _base.py:380(describe)
     2064    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       14    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     8136    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       13    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       55    0.001    0.000    0.007    0.000 utils.py:115(maskargs)
        8    0.001    0.000    0.052    0.007 popen_spawn_win32.py:45(__init__)
    66/13    0.001    0.000    0.002    0.000 sre_parse.py:469(_parse)
      598    0.001    0.000    0.001    0.000 inspect.py:2467(__init__)
       55    0.001    0.000    0.003    0.000 inspect.py:1089(getfullargspec)
      208    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        6    0.001    0.000    0.001    0.000 {built-in method addmessage}
      111    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
     1658    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
    112/6    0.001    0.000    2.628    0.438 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      858    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      906    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFF2918C3F0}
1773/1681    0.001    0.000    0.093    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
    111/6    0.001    0.000    2.624    0.437 <frozen importlib._bootstrap>:663(_load_unlocked)
    104/6    0.001    0.000    2.624    0.437 <frozen importlib._bootstrap_external>:722(exec_module)
      741    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      741    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.001    0.001    0.001    0.001 _base.py:568(_refresh)
1556/1549    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        2    0.001    0.000    0.032    0.016 __init__.py:17(<module>)
      104    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       65    0.001    0.000    0.001    0.000 _base.py:537(propfactory)
      111    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      104    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      230    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      111    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2185    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       31    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      110    0.000    0.000    0.004    0.000 inspect.py:2198(_signature_from_callable)
      678    0.000    0.000    0.001    0.000 pathlib.py:682(_from_parsed_parts)
       55    0.000    0.000    0.001    0.000 inspect.py:3035(__str__)
      672    0.000    0.000    0.001    0.000 pathlib.py:1044(_make_child_relpath)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
   109/11    0.000    0.000    0.002    0.000 sre_compile.py:71(_compile)
      343    0.000    0.000    0.001    0.000 pathlib.py:709(__str__)
      818    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      290    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      259    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
        7    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
      110    0.000    0.000    0.001    0.000 inspect.py:2750(__init__)
      337    0.000    0.000    0.009    0.000 pathlib.py:1368(is_dir)
        8    0.000    0.000    0.001    0.000 spawn.py:139(get_preparation_data)
       17    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 socket.py:357(send)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3041    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
      622    0.000    0.000    0.000    0.000 enum.py:289(__call__)
       47    0.000    0.000    0.080    0.002 popen_spawn_win32.py:97(wait)
2273/2159    0.000    0.000    0.000    0.000 {built-in method builtins.len}
